"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","HTTP","",""
"pre_128cipher","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","No 128 cipher limit bug","",""
"SSLv2","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","not offered","",""
"SSLv3","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","not offered","",""
"TLS1","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","not offered","",""
"TLS1_1","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","not offered","",""
"TLS1_2","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","offered","",""
"TLS1_3","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","offered with final","",""
"ALPN_HTTP2","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","h2","",""
"ALPN","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","http/1.1","",""
"cipherlist_NULL","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","not offered","","CWE-327"
"cipherlist_LOW","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","not offered","",""
"cipherlist_STRONG_FS","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","offered","",""
"cipher_order-tls1_2","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","server","",""
"cipherorder_TLSv1_2","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","server","",""
"FS","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","offered","",""
"FS_ciphers","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","grist.incubateur.anct.gouv.fr/142.44.53.109","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","yes","",""
"sessionresumption_ticket","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","not supported","",""
"sessionresumption_ID","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","not supported","",""
"TLS_timestamp","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","random","",""
"certificate_compression","grist.incubateur.anct.gouv.fr/142.44.53.109","443","INFO","none","",""
