"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","HTTP","",""
"pre_128cipher","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","not offered","",""
"SSLv3","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","not offered","",""
"TLS1","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_1","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_2","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","offered","",""
"TLS1_3","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","offered with final","",""
"ALPN_HTTP2","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","h2","",""
"ALPN","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","http/1.1","",""
"cipherlist_NULL","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"cipherlist_STRONG_FS","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","offered","",""
"cipher_order-tls1_2","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","server","",""
"cipherorder_TLSv1_2","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","server","",""
"FS","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","offered","",""
"FS_ciphers","signalement.adresse.data.gouv.fr/80.247.12.255","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","signalement.adresse.data.gouv.fr/80.247.12.255","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","signalement.adresse.data.gouv.fr/80.247.12.255","443","OK","prime256v1 secp384r1 secp521r1","",""
