"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","HTTP","",""
"pre_128cipher","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","No 128 cipher limit bug","",""
"SSLv2","solutionsdelus.gouv.fr/195.154.73.190","443","OK","not offered","",""
"SSLv3","solutionsdelus.gouv.fr/195.154.73.190","443","OK","not offered","",""
"TLS1","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","not offered","",""
"TLS1_1","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","not offered","",""
"TLS1_2","solutionsdelus.gouv.fr/195.154.73.190","443","OK","offered","",""
"TLS1_3","solutionsdelus.gouv.fr/195.154.73.190","443","OK","offered with final","",""
"ALPN_HTTP2","solutionsdelus.gouv.fr/195.154.73.190","443","OK","h2","",""
"ALPN","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","http/1.1","",""
"cipherlist_NULL","solutionsdelus.gouv.fr/195.154.73.190","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","solutionsdelus.gouv.fr/195.154.73.190","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","solutionsdelus.gouv.fr/195.154.73.190","443","OK","not offered","","CWE-327"
"cipherlist_LOW","solutionsdelus.gouv.fr/195.154.73.190","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","not offered","",""
"cipherlist_STRONG_FS","solutionsdelus.gouv.fr/195.154.73.190","443","OK","offered","",""
"cipher_order-tls1_2","solutionsdelus.gouv.fr/195.154.73.190","443","OK","server","",""
"cipherorder_TLSv1_2","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","solutionsdelus.gouv.fr/195.154.73.190","443","OK","server -- TLS 1.3 client determined","",""
"FS","solutionsdelus.gouv.fr/195.154.73.190","443","OK","offered","",""
"FS_ciphers","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","solutionsdelus.gouv.fr/195.154.73.190","443","OK","prime256v1","",""
"TLS_extensions","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","yes","",""
"sessionresumption_ticket","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","supported","",""
"sessionresumption_ID","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","not supported","",""
"TLS_timestamp","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","random","",""
"certificate_compression","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","none","",""
"clientAuth","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","none","",""
"cert_numbers","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","1","",""
"cert_signatureAlgorithm","solutionsdelus.gouv.fr/195.154.73.190","443","OK","SHA256 with RSA","",""
"cert_keySize","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","05DA6BC480336EAEBB0BF8D3CDB9CE5E1ADE","",""
"cert_serialNumberLen","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","18","",""
"cert_fingerprintSHA1","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","97D05C7BBC117A5C147009728E301F040D867FB2","",""
"cert_fingerprintSHA256","solutionsdelus.gouv.fr/195.154.73.190","443","INFO","C88FB31E7B32DFA34002BADE2B0D461A5E00D193EFD4F3024D4FEFCF028E4CE8","",""
